Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Urológica major,Intermediário (risco cardíaco entre 1 e 5%) ,,3.0,,,,,
,Ginecológica major,Intermediário (risco cardíaco entre 1 e 5%) ,,3.0,,,,,
,Aorta e vascular major,Alto (risco cardíaco ≥ 5%)* ,,4.0,,,,,
,Revascularização periférica aberta devido à isquemia aguda ou amputação,Alto (risco cardíaco ≥ 5%)* ,,4.0,,,,,
,Angioplastia carótida (sintomática),Alto (risco cardíaco ≥ 5%)* ,,4.0,,,,,
,Ressecção adrenal,Alto (risco cardíaco ≥ 5%)* ,,4.0,,,,,
,Pancreática,Alto (risco cardíaco ≥ 5%)* ,,4.0,,,,,
,Fígado e vias biliares,Alto (risco cardíaco ≥ 5%)* ,,4.0,,,,,
,Esofagectomia,Alto (risco cardíaco ≥ 5%)* ,,4.0,,,,,
,Pneumectomia (VATS ou aberta),Alto (risco cardíaco ≥ 5%)* ,,4.0,,,,,
,Transplante pulmonar,Alto (risco cardíaco ≥ 5%)* ,,4.0,,,,,
,Transplante hepático,Alto (risco cardíaco ≥ 5%)* ,,4.0,,,,,
,Cistectomia total,Alto (risco cardíaco ≥ 5%)* ,,4.0,,,,,
,Reparo de perfuração intestinal,Alto (risco cardíaco ≥ 5%)* ,,4.0,,,,,
,,,,,,,,,
,Baixo (risco cardíaco < 1%),2,,,,,,,
,Intermediário (risco cardíaco entre 1 e 5%) ,3,,,,,,,
,Alto (risco cardíaco ≥ 5%)* ,4,,,,,,,
,,,,,,,,,
,Código1,0,,,,,,,
,Código2,3,,,,,,,
,CódigoFinal,0,,,,,,,
